GeoId|Geography|LEAID|Year|Iteration|B02001_1est|B02001_1moe|B02001_2est|B02001_2moe|B02001_3est|B02001_3moe|B02001_4est|B02001_4moe|B02001_5est|B02001_5moe|B02001_6est|B02001_6moe|B02001_7est|B02001_7moe|B02001_8est|B02001_8moe|B02001_9est|B02001_9moe|B02001_10est|B02001_10moe
97000US3904421|Lebanon City School District, OH|3904421|2014-2018||38470|477|33184|1048|3953|941|54|72|366|173|0|24|263|193|650|228|36|40|614|224
97000US1805790|Lebanon Community School Corporation, IN|1805790|2014-2018||23181|291|21949|353|558|209|34|29|123|115|0|21|62|55|455|207|38|48|417|195
97000US4107380|Lebanon Community School District 9, OR|4107380|2014-2018||29865|888|27388|1063|73|49|479|277|318|127|12|17|390|263|1205|456|130|101|1075|448
97000US1722300|Lebanon Community Unit School District 9, IL|1722300|2014-2018||5305|242|4103|287|1045|241|0|15|0|15|0|15|6|10|151|166|0|15|151|166
97000US2918270|Lebanon R-III School District, MO|2918270|2014-2018||24913|905|23729|943|184|73|80|81|60|45|6|10|104|100|750|232|97|139|653|167
97000US3304230|Lebanon School District, NH|3304230|2014-2018||13619|22|11956|236|273|135|34|36|1065|174|10|15|76|75|205|88|24|40|181|80
97000US4213440|Lebanon School District, PA|4213440|2014-2018||26697|174|16661|876|1432|373|15|18|412|252|34|50|7230|874|913|294|441|274|472|203
97000US0902130|Lebanon School District, CT|0902130|2014-2018||7256|40|6986|177|31|46|0|17|113|128|0|17|30|39|96|77|2|5|94|78
95000US4702370|Lebanon Special School District, TN|4702370|2014-2018||33907|985|27579|1087|4004|532|144|104|701|249|19|29|696|414|764|279|18|29|746|277
95000US3408460|Lebanon Township School District, NJ|3408460|2014-2018||6132|19|5822|209|39|38|0|17|94|74|0|17|0|17|177|157|0|17|177|157
97000US2012810|Lebo-Waverly Unified School District 243, KS|2012810|2014-2018||2739|213|2645|209|7|8|20|18|10|13|0|10|4|6|53|39|12|11|41|39
97000US0902160|Ledyard School District, CT|0902160|2014-2018||14850|38|12804|332|411|213|337|163|605|262|0|19|34|42|659|245|3|4|656|244
97000US1722350|Lee Center Community Unit School District 271, IL|1722350|2014-2018||1534|197|1479|194|16|21|5|6|3|6|0|11|23|32|8|9|0|11|8|9
97000US5102190|Lee County Public Schools, VA|5102190|2014-2018||24134|*****|22551|69|1033|221|107|93|82|87|0|22|153|117|208|154|76|57|132|153
